node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,828,776,438,777,617,842
>=5<10,b_av,-,-,-,-,247,62,691
>=5<10,b_sesk,-,718,562,196,568,306,745
>=10<20,fixed,1246,1125,1056,730,1160,1090,1359
>=10<20,b_av,-,-,-,-,587,165,1885
>=10<20,b_sesk,1533,922,688,181,1141,789,1966
>=20,fixed,648,614,590,445,664,627,884
>=20,b_av,-,-,-,-,347,123,969
>=20,b_sesk,572,354,231,74,686,430,1059
