cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,19,12,24,19,24
22,b_av,-,-,116,47,132
22,b_se,46,28,113,112,137
22,b_sk,9,0,85,34,132
22,b_sesk,54,28,137,136,137
79,fixed,28,0,28,20,33
79,b_av,-,-,66,4,221
79,b_se,46,34,167,64,225
79,b_sk,22,1,37,27,221
79,b_sesk,68,35,194,91,225
89,fixed,243,105,291,280,298
89,b_av,-,-,276,95,305
89,b_se,133,109,285,266,308
89,b_sk,12,2,129,35,305
89,b_sesk,140,111,307,285,308
190,fixed,492,250,644,545,698
190,b_av,-,-,326,63,571
190,b_se,313,127,443,328,580
190,b_sk,94,27,185,84,571
190,b_sesk,354,154,515,390,580
191,fixed,359,106,513,396,571
191,b_av,-,-,290,31,453
191,b_se,231,162,335,281,457
191,b_sk,77,8,135,55,456
191,b_sesk,273,170,400,324,460
