node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,801,773,537,786,671,810
>=5<10,b_av,-,-,-,-,232,43,657
>=5<10,b_sesk,-,687,479,116,482,201,705
>=10<20,fixed,1296,1214,1062,700,1261,1142,1340
>=10<20,b_av,-,-,-,-,1219,548,1884
>=10<20,b_sesk,1912,1425,1136,644,1638,1262,1962
>=20,fixed,788,722,593,343,803,751,878
>=20,b_av,-,-,-,-,727,314,961
>=20,b_sesk,941,737,512,269,974,852,1048
