cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.6666666666666666,0.16666666666666666,1.0,1.0
22,b_av,-,-,0.6060606060606061,0.2196969696969697
22,b_se,0.45255474452554745,0.2773722627737226,0.8394160583941606,0.7007299270072993
22,b_sk,0.18181818181818182,0.06060606060606061,0.3106060606060606,0.24242424242424243
22,b_sesk,0.5620437956204379,0.3357664233576642,0.9197080291970803,0.7956204379562044
79,fixed,1.0,1.0,1.0,1.0
79,b_av,-,-,0.17972350230414746,0.009216589861751152
79,b_se,0.6877828054298643,0.4751131221719457,0.832579185520362,0.6787330316742082
79,b_sk,0.0,0.0,0.004608294930875576,0.0
79,b_sesk,0.6877828054298643,0.4751131221719457,0.832579185520362,0.6787330316742082
89,fixed,0.6,0.14545454545454545,1.0,0.9163636363636364
89,b_av,-,-,0.7959183673469388,0.2687074829931973
89,b_se,0.32996632996632996,0.15488215488215487,0.8114478114478114,0.5925925925925926
89,b_sk,0.1360544217687075,0.047619047619047616,0.46938775510204084,0.24829931972789115
89,b_sesk,0.4478114478114478,0.20202020202020202,0.9158249158249159,0.7272727272727273
190,fixed,0.9446870451237264,0.6098981077147017,0.9956331877729258,0.9286754002911208
190,b_av,-,-,0.5045703839122486,0.19195612431444242
190,b_se,0.289568345323741,0.12589928057553956,0.5377697841726619,0.29676258992805754
190,b_sk,0.22120658135283364,0.025594149908592323,0.4625228519195612,0.17550274223034734
190,b_sesk,0.46223021582733814,0.1510791366906475,0.7032374100719424,0.4172661870503597
191,fixed,0.9647887323943662,0.7288732394366197,0.9982394366197183,0.9524647887323944
191,b_av,-,-,0.5605381165919282,0.1905829596412556
191,b_se,0.4088888888888889,0.17333333333333334,0.5622222222222222,0.4288888888888889
191,b_sk,0.19376391982182628,0.024498886414253896,0.4053452115812918,0.16258351893095768
191,b_sesk,0.5342163355408388,0.19646799116997793,0.7041942604856513,0.5099337748344371
