cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,1,1,21,3,23
22,b_av,-,-,97,1,132
22,b_se,113,50,137,134,137
22,b_sk,0,0,0,0,132
22,b_sesk,113,50,137,134,137
79,fixed,4,1,4,1,33
79,b_av,-,-,35,1,221
79,b_se,182,40,220,184,225
79,b_sk,0,0,2,0,221
79,b_sesk,182,40,220,184,225
89,fixed,8,5,133,16,293
89,b_av,-,-,273,33,305
89,b_se,245,89,304,301,308
89,b_sk,0,0,38,3,305
89,b_sesk,245,89,307,302,308
190,fixed,405,155,492,411,691
190,b_av,-,-,199,22,571
190,b_se,188,61,293,177,580
190,b_sk,103,25,162,89,571
190,b_sesk,271,86,409,259,580
191,fixed,355,75,434,350,567
191,b_av,-,-,109,7,453
191,b_se,126,35,215,128,457
191,b_sk,53,24,76,41,456
191,b_sesk,174,59,279,166,460
