node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,632,343,133,352,194,870
>=5<10,b_av,-,-,-,-,143,14,683
>=5<10,b_sesk,-,670,543,183,540,294,731
>=10<20,fixed,950,487,387,132,539,416,1421
>=10<20,b_av,-,-,-,-,735,34,1884
>=10<20,b_sesk,1858,1418,938,158,1673,1173,1957
>=20,fixed,180,119,93,23,220,153,911
>=20,b_av,-,-,-,-,602,49,956
>=20,b_sesk,837,475,210,22,933,680,1046
