node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,674,481,156,470,278,855
>=5<10,b_av,-,-,-,-,249,16,711
>=5<10,b_sesk,-,742,620,273,642,411,761
>=10<20,fixed,1085,803,639,283,878,709,1415
>=10<20,b_av,-,-,-,-,514,83,1912
>=10<20,b_sesk,1810,1312,979,292,1502,1107,1986
>=20,fixed,561,380,276,94,630,451,910
>=20,b_av,-,-,-,-,524,53,972
>=20,b_sesk,860,656,482,143,920,718,1062
