Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
0.0,97.93,91.89,61.24,92.72,76.2
0.0,0.0,0.0,0.0,51.2,12.52
0.0,97.12,80.51,40.11,81.16,53.99
91.43,82.62,76.45,58.57,86.59,79.17
0.0,0.0,0.0,0.0,53.99,20.31
92.86,71.17,56.3,27.89,82.05,63.54
77.73,69.82,64.42,49.21,79.76,73.59
0.0,0.0,0.0,0.0,54.66,18.93
79.48,60.69,47.0,23.24,85.07,68.94
