node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,830,783,444,779,623,843
>=5<10,b_av,-,-,-,-,499,143,673
>=5<10,b_sesk,-,718,676,383,686,516,724
>=10<20,fixed,1262,1131,1052,782,1195,1083,1373
>=10<20,b_av,-,-,-,-,968,367,1861
>=10<20,b_sesk,1613,1266,1015,451,1483,1132,1941
>=20,fixed,729,616,586,478,745,660,881
>=20,b_av,-,-,-,-,371,91,959
>=20,b_sesk,589,370,283,140,700,471,1048
