cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,9,5,19,15,23
22,b_av,-,-,51,2,132
22,b_se,15,0,90,41,137
22,b_sk,0,0,31,5,132
22,b_sesk,15,0,110,46,137
79,fixed,15,10,28,10,33
79,b_av,-,-,122,15,221
79,b_se,9,0,46,2,225
79,b_sk,124,8,172,140,221
79,b_sesk,130,8,180,142,225
89,fixed,121,75,262,207,298
89,b_av,-,-,81,8,302
89,b_se,35,4,198,83,305
89,b_sk,5,1,58,13,302
89,b_sesk,40,5,231,94,305
190,fixed,555,324,640,572,697
190,b_av,-,-,210,21,559
190,b_se,272,110,395,247,568
190,b_sk,33,0,138,50,559
190,b_sesk,293,110,477,292,568
191,fixed,479,261,548,499,571
191,b_av,-,-,184,17,447
191,b_se,178,96,317,156,451
191,b_sk,32,0,133,42,450
191,b_sesk,190,96,380,196,454
