node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
>=5<10,fixed,-,0.8496583143507973,0.6571753986332574,0.33826879271070615,0.6526195899772209,0.4624145785876993
>=5<10,b_av,-,-,-,-,0.45228215767634855,0.09681881051175657
>=5<10,b_sesk,-,0.9521345407503234,0.7684346701164295,0.4191461836998706,0.7917205692108668,0.5329883570504528
>=10<20,fixed,0.8058864751226349,0.6412053258584443,0.5543097407147862,0.3097407147862649,0.6839523475823406,0.6040644709180099
>=10<20,b_av,-,-,-,-,0.3551742069682787,0.07020280811232449
>=10<20,b_sesk,0.9880358923230309,0.6051844466600199,0.4267198404785643,0.22083748753738783,0.8514456630109671,0.5034895314057827
>=20,fixed,0.779107725788901,0.676822633297062,0.6104461371055495,0.40369967355821545,0.809575625680087,0.7312295973884657
>=20,b_av,-,-,-,-,0.49691991786447637,0.06776180698151951
>=20,b_sesk,0.9163533834586466,0.42105263157894735,0.25093984962406013,0.08364661654135339,0.9642857142857143,0.6240601503759399
