cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,4,0,22,11,24
22,b_av,-,-,107,43,132
22,b_se,45,19,113,86,137
22,b_sk,24,0,75,39,132
22,b_sesk,67,19,137,115,137
79,fixed,1,0,0,0,33
79,b_av,-,-,79,4,221
79,b_se,41,19,137,40,225
79,b_sk,55,8,75,49,221
79,b_sesk,94,27,192,89,225
89,fixed,1,0,119,3,298
89,b_av,-,-,187,46,305
89,b_se,115,78,214,150,308
89,b_sk,5,0,92,26,305
89,b_sesk,120,78,249,172,308
190,fixed,346,2,490,334,698
190,b_av,-,-,232,53,572
190,b_se,168,59,275,153,581
190,b_sk,151,64,194,133,572
190,b_sesk,290,123,381,262,581
191,fixed,267,0,371,265,571
191,b_av,-,-,167,13,453
191,b_se,134,51,187,102,457
191,b_sk,93,22,128,65,456
191,b_sesk,209,73,279,162,460
