node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,722,382,114,455,180,855
>=5<10,b_av,-,-,-,-,362,19,694
>=5<10,b_sesk,-,734,700,417,709,557,743
>=10<20,fixed,873,375,253,71,455,284,1413
>=10<20,b_av,-,-,-,-,583,104,1901
>=10<20,b_sesk,1620,1117,878,331,1389,963,1981
>=20,fixed,258,140,84,15,309,189,907
>=20,b_av,-,-,-,-,305,50,967
>=20,b_sesk,553,297,202,95,666,426,1055
