cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.6956521739130435,0.21739130434782608,1.0,0.9565217391304348
22,b_av,-,-,0.8181818181818182,0.30303030303030304
22,b_se,0.6423357664233577,0.30656934306569344,0.8248175182481752,0.8248175182481752
22,b_sk,0.2196969696969697,0.007575757575757576,0.4015151515151515,0.2727272727272727
22,b_sesk,0.8029197080291971,0.31386861313868614,1.0,1.0
79,fixed,0.7575757575757576,0.3939393939393939,0.7575757575757576,0.6060606060606061
79,b_av,-,-,0.2669683257918552,0.0
79,b_se,0.38666666666666666,0.16444444444444445,0.7244444444444444,0.43555555555555553
79,b_sk,0.1583710407239819,0.00904977375565611,0.2081447963800905,0.15384615384615385
79,b_sesk,0.5377777777777778,0.17333333333333334,0.9066666666666666,0.5866666666666667
89,fixed,0.20945945945945946,0.06418918918918919,0.46621621621621623,0.30067567567567566
89,b_av,-,-,0.7352941176470589,0.0915032679738562
89,b_se,0.6375404530744336,0.3106796116504854,0.9029126213592233,0.86084142394822
89,b_sk,0.02287581699346405,0.0,0.16993464052287582,0.06209150326797386
89,b_sesk,0.6601941747572816,0.3106796116504854,0.9805825242718447,0.919093851132686
190,fixed,0.5093795093795094,0.25396825396825395,0.6507936507936508,0.4329004329004329
190,b_av,-,-,0.38434163701067614,0.017793594306049824
190,b_se,0.43257443082311736,0.2819614711033275,0.6742556917688266,0.43782837127845886
190,b_sk,0.09608540925266904,0.0071174377224199285,0.11565836298932385,0.05871886120996441
190,b_sesk,0.5078809106830122,0.28896672504378285,0.7548161120840631,0.4938704028021016
191,fixed,0.39399293286219084,0.1519434628975265,0.5742049469964664,0.3374558303886926
191,b_av,-,-,0.35555555555555557,0.011111111111111112
191,b_se,0.46916299559471364,0.29295154185022027,0.737885462555066,0.4845814977973568
191,b_sk,0.11037527593818984,0.008830022075055188,0.11479028697571744,0.05518763796909492
191,b_sesk,0.5514223194748359,0.29978118161925604,0.8336980306345733,0.5339168490153173
