node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,740,384,136,415,190,876
>=5<10,b_av,-,-,-,-,316,21,688
>=5<10,b_sesk,-,702,603,351,609,444,734
>=10<20,fixed,887,416,302,73,490,339,1395
>=10<20,b_av,-,-,-,-,282,33,1889
>=10<20,b_sesk,1575,826,484,121,1160,596,1967
>=20,fixed,172,73,49,8,204,109,904
>=20,b_av,-,-,-,-,118,13,956
>=20,b_sesk,518,247,138,24,590,334,1046
