Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
0.0,84.83,62.08,24.37,63.51,37.71
0.0,0.0,0.0,0.0,48.42,8.1
0.0,96.18,84.08,45.79,85.51,60.42
87.06,67.6,51.49,16.19,74.68,59.75
0.0,0.0,0.0,0.0,42.14,9.13
96.36,71.86,49.49,20.92,87.57,59.72
75.13,57.43,44.16,15.45,80.51,66.65
0.0,0.0,0.0,0.0,53.16,13.86
81.09,50.97,32.83,14.54,87.97,65.29
